,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
50,27,2,2.309585333,18.47143936,51,88.8,Abl1 M290L,256:512 First Replicate,62.83929062,62.83929062
51,23,2,2.400370598,18.50323105,52,88.7,Abl1 M290L,256:512 First Replicate,61.4027977,61.4027977
52,1,4,2.322546482,18.49393654,53,88.7,Abl1 M290L,256:512 First Replicate,64.68271637,64.68271637
53,12,3,2.435121298,18.39528847,54,88.7,Abl1 M290L,256:512 First Replicate,58.15177155,58.15177155
54,4,5,2.233659029,18.45347404,55,88.7,Abl1 M290L,256:512 First Replicate,34.70392609,34.70392609
55,6,2,2.34647584,18.44848251,56,88.6,Abl1 M290L,256:512 First Replicate,60.73002625,60.73002625
56,10,5,2.570115805,18.49887466,57,88.6,Abl1 M290L,256:512 First Replicate,32.94148254,32.94148254
57,20,2,2.394904852,18.56540489,58,88.6,Abl1 M290L,256:512 First Replicate,60.13928986,60.13928986
58,23,3,2.331479073,18.39281082,59,88.6,Abl1 M290L,256:512 First Replicate,56.73817444,56.73817444
59,26,2,2.359030008,18.50039291,60,88.6,Abl1 M290L,256:512 First Replicate,61.74913025,61.74913025
60,28,5,2.304744244,18.34670448,61,88.6,Abl1 M290L,256:512 First Replicate,32.37034988,32.37034988
61,28,1,2.446722984,18.3117485,62,88.6,Abl1 M290L,256:512 First Replicate,57.44937134,57.44937134
62,13,5,2.265636444,18.38447762,63,88.5,Abl1 M290L,256:512 First Replicate,34.68871307,34.68871307
63,5,4,2.341774464,18.46949959,64,88.5,Abl1 M290L,256:512 First Replicate,59.66280746,59.66280746
64,0,5,2.740993738,18.57963181,65,88.4,Abl1 M290L,256:512 First Replicate,34.09134293,34.09134293
65,4,2,2.312932253,18.52237511,66,88.4,Abl1 M290L,256:512 First Replicate,61.35484314,61.35484314
66,22,2,2.33676219,18.49654579,67,88.4,Abl1 M290L,256:512 First Replicate,61.40954971,61.40954971
67,15,2,2.301874161,18.4512291,68,88.4,Abl1 M290L,256:512 First Replicate,59.62162399,59.62162399
68,11,5,2.282599926,18.47012329,69,88.4,Abl1 M290L,256:512 First Replicate,36.95452118,36.95452118
69,1,2,2.309084892,18.51693344,70,88.4,Abl1 M290L,256:512 First Replicate,62.29763031,62.29763031
70,9,4,2.452379704,18.50448799,71,88.4,Abl1 M290L,256:512 First Replicate,61.514534,61.514534
71,24,2,2.271351576,18.42234802,72,88.4,Abl1 M290L,256:512 First Replicate,61.12586975,61.12586975
72,13,2,2.383084297,18.4924469,73,88.4,Abl1 M290L,256:512 First Replicate,57.81680679,57.81680679
73,22,1,2.392747641,18.38674736,74,88.4,Abl1 M290L,256:512 First Replicate,56.61266327,56.61266327
74,4,4,2.307779551,18.42012215,75,88.3,Abl1 M290L,256:512 First Replicate,60.21969986,60.21969986
75,9,5,2.670503855,18.63571167,76,88.3,Abl1 M290L,256:512 First Replicate,32.75696182,32.75696182
76,4,1,2.329137564,18.44914627,77,88.3,Abl1 M290L,256:512 First Replicate,58.233284,58.233284
77,11,1,2.339997768,18.46786118,78,88.3,Abl1 M290L,256:512 First Replicate,62.6242485,62.6242485
78,6,1,2.308724403,18.43844795,79,88.3,Abl1 M290L,256:512 First Replicate,57.46926498,57.46926498
79,24,4,2.430495501,18.45600319,80,88.2,Abl1 M290L,256:512 First Replicate,59.22239685,59.22239685
80,11,2,2.302905321,18.45969582,81,88.2,Abl1 M290L,256:512 First Replicate,64.04946136,64.04946136
81,24,5,2.331502199,18.4348011,82,88.2,Abl1 M290L,256:512 First Replicate,33.94416046,33.94416046
82,3,2,2.351703405,18.52697372,83,88.2,Abl1 M290L,256:512 First Replicate,64.21534729,64.21534729
83,1,1,2.331975937,18.43172073,84,88.2,Abl1 M290L,256:512 First Replicate,59.32430649,59.32430649
84,30,3,2.307074547,18.36278152,85,88.2,Abl1 M290L,256:512 First Replicate,56.17288208,56.17288208
85,14,2,2.405258417,18.60931778,86,88.1,Abl1 M290L,256:512 First Replicate,58.55934906,58.55934906
86,0,1,2.308012962,18.46350861,87,88.1,Abl1 M290L,256:512 First Replicate,59.04624939,59.04624939
87,7,2,2.408135653,18.58468819,88,88.1,Abl1 M290L,256:512 First Replicate,59.11317062,59.11317062
88,6,3,2.388039112,18.30599022,89,88.1,Abl1 M290L,256:512 First Replicate,57.12181473,57.12181473
89,2,3,2.416047335,18.28904533,90,88.1,Abl1 M290L,256:512 First Replicate,54.94595337,54.94595337
90,13,3,2.312570095,18.29944229,91,88.1,Abl1 M290L,256:512 First Replicate,54.67946243,54.67946243
91,8,2,2.43236208,18.46002388,92,88,Abl1 M290L,256:512 First Replicate,60.19694519,60.19694519
92,7,5,2.38492012,18.45014,93,88,Abl1 M290L,256:512 First Replicate,33.11914825,33.11914825
93,15,5,2.352056503,18.44067574,94,88,Abl1 M290L,256:512 First Replicate,32.80938721,32.80938721
94,14,5,2.381153345,18.52979851,95,88,Abl1 M290L,256:512 First Replicate,36.20269775,36.20269775
95,29,1,2.391639948,18.47428703,96,88,Abl1 M290L,256:512 First Replicate,59.81087875,59.81087875
96,9,2,2.365007877,18.5403595,97,87.9,Abl1 M290L,256:512 First Replicate,59.14812851,59.14812851
97,12,1,2.39017415,18.53133965,98,87.9,Abl1 M290L,256:512 First Replicate,60.76457214,60.76457214
98,31,2,2.418584108,18.43923759,99,87.9,Abl1 M290L,256:512 First Replicate,61.75567627,61.75567627
99,20,3,2.394124269,18.4675827,100,87.8,Abl1 M290L,256:512 First Replicate,57.16403198,57.16403198
100,2,2,2.405968904,18.54032135,101,87.8,Abl1 M290L,256:512 First Replicate,59.80379105,59.80379105
101,18,1,2.386630535,18.40871048,102,87.8,Abl1 M290L,256:512 First Replicate,57.21221161,57.21221161
102,16,5,2.665614128,18.47236824,103,87.7,Abl1 M290L,256:512 First Replicate,33.91187286,33.91187286
103,8,1,2.372330427,18.39654732,104,87.7,Abl1 M290L,256:512 First Replicate,59.8130188,59.8130188
104,25,5,2.321949005,18.55319595,105,87.6,Abl1 M290L,256:512 First Replicate,33.69582748,33.69582748
105,7,1,2.35255003,18.45446777,106,87.6,Abl1 M290L,256:512 First Replicate,57.12071991,57.12071991
106,27,5,3.059825182,18.66235542,107,87.6,Abl1 M290L,256:512 First Replicate,32.5665741,32.5665741
107,3,1,2.378735065,18.53095055,108,87.6,Abl1 M290L,256:512 First Replicate,61.8383522,61.8383522
108,22,3,2.330262899,18.22787285,109,87.6,Abl1 M290L,256:512 First Replicate,52.70335388,52.70335388
109,26,1,2.343751431,18.4697094,110,87.6,Abl1 M290L,256:512 First Replicate,60.32666779,60.32666779
110,9,1,2.352720737,18.45951843,111,87.6,Abl1 M290L,256:512 First Replicate,57.71738052,57.71738052
111,24,3,2.341687918,18.32268143,112,87.4,Abl1 M290L,256:512 First Replicate,56.0182457,56.0182457
112,14,1,2.351323128,18.40891266,113,87.4,Abl1 M290L,256:512 First Replicate,57.53540421,57.53540421
113,14,4,14.29547405,8.399475098,114,87.4,Abl1 M290L,256:512 First Replicate,30.16003609,30.16003609
114,31,3,2.456472158,18.22346115,115,87.3,Abl1 M290L,256:512 First Replicate,57.04746246,57.04746246
115,5,3,14.17766285,7.698315144,116,87.2,Abl1 M290L,256:512 First Replicate,29.70651817,29.70651817
116,13,1,2.404346466,18.48398399,117,87.2,Abl1 M290L,256:512 First Replicate,56.33209991,56.33209991
117,17,3,2.665348291,18.19337463,118,87.2,Abl1 M290L,256:512 First Replicate,32.55779648,32.55779648
118,2,1,2.345240593,18.40069771,119,87.1,Abl1 M290L,256:512 First Replicate,58.17533875,58.17533875
119,1,5,2.53684926,18.47389603,120,87.1,Abl1 M290L,256:512 First Replicate,34.78662872,34.78662872
120,30,5,2.599746466,18.52124214,121,87.1,Abl1 M290L,256:512 First Replicate,34.00201797,34.00201797
121,21,3,5.612936497,17.84635544,122,87.1,Abl1 M290L,256:512 First Replicate,27.48512459,27.48512459
122,16,3,2.401940346,18.41594124,123,87,Abl1 M290L,256:512 First Replicate,52.08897781,52.08897781
123,25,1,2.293326139,18.38308525,124,86.9,Abl1 M290L,256:512 First Replicate,56.05754852,56.05754852
124,5,1,2.28232646,18.369627,125,86.9,Abl1 M290L,256:512 First Replicate,55.15434265,55.15434265
125,5,5,2.776110411,18.75555992,126,86.9,Abl1 M290L,256:512 First Replicate,32.90579605,32.90579605
126,22,5,3.199193001,18.42942429,127,86.9,Abl1 M290L,256:512 First Replicate,32.41965866,32.41965866
127,20,5,2.549884319,18.80042839,128,86.8,Abl1 M290L,256:512 First Replicate,32.66473389,32.66473389
128,16,1,2.292425156,18.33819199,129,86.8,Abl1 M290L,256:512 First Replicate,59.34931183,59.34931183
129,15,3,2.38863802,18.31616402,130,86.8,Abl1 M290L,256:512 First Replicate,55.79606247,55.79606247
130,31,5,3.032663345,18.55818367,131,86.6,Abl1 M290L,256:512 First Replicate,34.06908035,34.06908035
131,0,3,10.23973179,14.90324974,132,86.6,Abl1 M290L,256:512 First Replicate,26.13624763,26.13624763
132,8,3,5.244287968,18.05640793,133,86.6,Abl1 M290L,256:512 First Replicate,49.24832153,49.24832153
133,10,2,2.428715706,18.43249512,134,86.6,Abl1 M290L,256:512 First Replicate,60.22961807,60.22961807
134,11,3,4.899149418,18.20222664,135,86.5,Abl1 M290L,256:512 First Replicate,54.9030838,54.9030838
135,14,3,14.39652252,7.121345043,136,86.4,Abl1 M290L,256:512 First Replicate,34.21138763,34.21138763
136,26,3,2.644082308,18.41035461,137,86.4,Abl1 M290L,256:512 First Replicate,55.30202866,55.30202866
137,31,1,2.438633204,18.29735184,138,86.4,Abl1 M290L,256:512 First Replicate,60.46366119,60.46366119
138,27,3,14.19833565,7.19698143,139,86.4,Abl1 M290L,256:512 First Replicate,32.98818207,32.98818207
139,21,1,2.983423948,18.50588226,140,86.4,Abl1 M290L,256:512 First Replicate,55.54191971,55.54191971
140,4,3,14.07096195,7.754173756,141,86.3,Abl1 M290L,256:512 First Replicate,22.88031006,22.88031006
141,15,1,2.385909081,18.25365067,142,86.3,Abl1 M290L,256:512 First Replicate,55.45075607,55.45075607
142,25,3,2.541343927,18.35493279,143,86.2,Abl1 M290L,256:512 First Replicate,55.38539124,55.38539124
143,17,1,2.341272831,18.40119934,144,86.2,Abl1 M290L,256:512 First Replicate,56.6571846,56.6571846
144,10,3,14.32970524,7.055379391,145,86.2,Abl1 M290L,256:512 First Replicate,30.34559441,30.34559441
145,3,5,3.829178572,18.84527779,146,86.2,Abl1 M290L,256:512 First Replicate,34.79191208,34.79191208
146,8,5,2.622752428,18.68079567,147,86.2,Abl1 M290L,256:512 First Replicate,30.64470673,30.64470673
147,10,1,2.610364676,18.40433693,148,86.1,Abl1 M290L,256:512 First Replicate,58.9859581,58.9859581
148,25,2,2.886399269,18.87989235,149,86.1,Abl1 M290L,256:512 First Replicate,56.24839783,56.24839783
149,29,3,14.13240337,7.815420628,150,86.1,Abl1 M290L,256:512 First Replicate,30.99486542,30.99486542
150,9,3,14.16750908,7.337833405,151,86.1,Abl1 M290L,256:512 First Replicate,28.88171196,28.88171196
151,18,3,13.88917351,7.830523491,152,86.1,Abl1 M290L,256:512 First Replicate,29.96100807,29.96100807
152,24,1,2.208767891,18.36034584,153,86.1,Abl1 M290L,256:512 First Replicate,59.19161606,59.19161606
153,28,3,2.91661644,18.40102196,154,86,Abl1 M290L,256:512 First Replicate,51.19665909,51.19665909
154,23,1,2.612457752,18.30516243,155,85.9,Abl1 M290L,256:512 First Replicate,58.22781372,58.22781372
155,1,3,2.798851252,18.13002396,156,85.9,Abl1 M290L,256:512 First Replicate,54.52363968,54.52363968
156,7,3,14.13071346,8.921833992,157,85.9,Abl1 M290L,256:512 First Replicate,27.84229469,27.84229469
157,20,1,2.409746885,18.48045349,158,85.5,Abl1 M290L,256:512 First Replicate,56.36830139,56.36830139
158,3,3,12.93766975,10.07459641,159,85.4,Abl1 M290L,256:512 First Replicate,53.45645142,53.45645142
159,27,1,6.645410538,17.22835541,160,85.3,Abl1 M290L,256:512 First Replicate,56.10908508,56.10908508
160,34,4,2.376194,18.50538063,1,90.2,Abl1 M290L,256:512 Second Replicate,63.02925873,63.02925873
161,48,4,2.321462631,18.44989586,2,90.2,Abl1 M290L,256:512 Second Replicate,60.42028427,60.42028427
162,50,4,2.360320568,18.53399849,3,90.1,Abl1 M290L,256:512 Second Replicate,59.6697197,59.6697197
163,45,4,2.373311281,18.5279789,4,90.1,Abl1 M290L,256:512 Second Replicate,60.17059326,60.17059326
164,52,4,2.264231205,18.39279175,5,90.1,Abl1 M290L,256:512 Second Replicate,60.90439987,60.90439987
165,51,4,2.312771082,18.46198654,6,90.1,Abl1 M290L,256:512 Second Replicate,62.10579681,62.10579681
166,55,5,2.236812353,18.50245285,7,90,Abl1 M290L,256:512 Second Replicate,33.57368469,33.57368469
167,57,4,2.273818254,18.52629471,8,90,Abl1 M290L,256:512 Second Replicate,61.97863388,61.97863388
168,49,4,2.309593439,18.45117188,9,89.9,Abl1 M290L,256:512 Second Replicate,61.35846329,61.35846329
169,62,2,2.347365379,18.5792923,10,89.9,Abl1 M290L,256:512 Second Replicate,63.13490677,63.13490677
170,53,4,2.368056297,18.49783516,11,89.8,Abl1 M290L,256:512 Second Replicate,62.76733398,62.76733398
171,33,4,2.305557489,18.4915905,12,89.8,Abl1 M290L,256:512 Second Replicate,62.72756958,62.72756958
172,35,4,2.312035561,18.47243118,13,89.8,Abl1 M290L,256:512 Second Replicate,63.02083588,63.02083588
173,42,4,2.402611732,18.42508125,14,89.8,Abl1 M290L,256:512 Second Replicate,61.50146103,61.50146103
174,38,4,2.328650951,18.51532936,15,89.8,Abl1 M290L,256:512 Second Replicate,61.01181412,61.01181412
