,below_i2,above_gr,asp_below,trial,scale,plddt
0,0,3,3,Src,256:512 First Replicate,90.996875
1,0,5,5,Src,256:512 Second Replicate,90.914375
2,0,5,5,Src,256:512 Third Replicate,90.886875
3,1,7,6,Anc-AS,256:512 First Replicate,90.6465625
4,0,9,9,Anc-AS,256:512 Second Replicate,90.47025
5,0,16,16,Anc-AS,256:512 Third Replicate,88.91
6,13,19,6,Abl1,256:512 First Replicate,89.19151786
7,9,18,9,Abl1,256:512 Second Replicate,89.38289063
8,9,18,9,Abl1,256:512 Third Replicate,89.53138889
