,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
55,16,2,0.362400681,16.85880852,56,91.4,Src,256:512 First Replicate,54.05144882,-138.5943756
56,7,1,0.411650896,16.72400093,57,91.4,Src,256:512 First Replicate,54.15330505,-140.9280853
57,1,4,1.141564131,16.52955818,58,91.4,Src,256:512 First Replicate,54.09086227,-142.350647
58,11,1,0.889725149,16.82917786,59,91.4,Src,256:512 First Replicate,55.94013214,-138.1547241
59,15,5,2.212448597,16.29694176,60,91.4,Src,256:512 First Replicate,29.11812782,-142.9137878
60,24,1,0.554353356,16.63854218,61,91.3,Src,256:512 First Replicate,51.86717606,-137.8887482
61,14,5,0.94547832,16.68417931,62,91.3,Src,256:512 First Replicate,29.45892715,-142.1168823
62,2,4,1.720961571,16.63470459,63,91.3,Src,256:512 First Replicate,51.82505035,-141.0338898
63,29,2,0.463594347,16.83851051,64,91.3,Src,256:512 First Replicate,56.20183945,-139.6688995
64,5,2,0.74682492,16.7379837,65,91.2,Src,256:512 First Replicate,53.13733673,-141.1940002
65,15,2,0.734835088,16.86436462,66,91.2,Src,256:512 First Replicate,55.45462799,-141.9252472
66,11,5,0.897608757,16.78093719,67,91.2,Src,256:512 First Replicate,29.85482788,-139.2577515
67,23,2,0.853751063,16.74847412,68,91.2,Src,256:512 First Replicate,50.61474609,-142.5428772
68,28,5,2.287024021,16.87135506,69,91.2,Src,256:512 First Replicate,29.78134346,-140.9010925
69,30,2,2.078557253,16.8778553,70,91.2,Src,256:512 First Replicate,54.34093475,-140.2174225
70,8,2,1.893762827,16.73331261,71,91.2,Src,256:512 First Replicate,51.14175415,-141.1700897
71,0,2,0.421285123,16.87103844,72,91.2,Src,256:512 First Replicate,49.96012497,-143.7558746
72,3,2,1.037235379,16.76384926,73,91.1,Src,256:512 First Replicate,54.6204071,-140.9178772
73,13,2,1.193782568,16.85824203,74,91.1,Src,256:512 First Replicate,53.27479172,-140.6174011
74,9,1,0.988815606,16.83313942,75,91.1,Src,256:512 First Replicate,54.3249855,-140.547348
75,26,1,0.576143563,16.68585587,76,91.1,Src,256:512 First Replicate,52.55653,-143.5775757
76,5,5,0.835986137,16.64424324,77,91.1,Src,256:512 First Replicate,28.8106842,-140.7309723
77,25,1,0.570288479,16.63838196,78,91.1,Src,256:512 First Replicate,51.043293,-142.1908264
78,12,2,0.482331336,16.90333557,79,91.1,Src,256:512 First Replicate,51.57324982,-142.5892334
79,18,1,1.661372304,16.68766022,80,91,Src,256:512 First Replicate,50.39329147,-142.7846527
80,10,2,1.019465089,16.80962372,81,91,Src,256:512 First Replicate,51.74801254,-144.267868
81,4,4,3.695749283,15.60736942,82,91,Src,256:512 First Replicate,53.01665115,-143.0887756
82,16,4,1.076993704,16.59924507,83,91,Src,256:512 First Replicate,54.47050095,-138.9936523
83,16,5,0.770599484,16.84849739,84,91,Src,256:512 First Replicate,32.28361511,-136.6108093
84,24,5,0.909969807,16.56814003,85,91,Src,256:512 First Replicate,28.6725769,-140.8065491
85,5,1,1.058156967,16.72468948,86,91,Src,256:512 First Replicate,51.72590256,-141.2538757
86,26,5,1.064061761,16.73818207,87,91,Src,256:512 First Replicate,27.64554977,-143.7561951
87,30,5,0.809379756,16.81758499,88,90.9,Src,256:512 First Replicate,29.01819611,-139.0440216
88,0,4,3.126707077,16.19813156,89,90.9,Src,256:512 First Replicate,50.0979805,-144.9489899
89,20,1,0.734707952,16.66862679,90,90.9,Src,256:512 First Replicate,51.82888794,-141.0042419
90,22,5,1.123509049,16.73655701,91,90.9,Src,256:512 First Replicate,27.64812469,-140.5284424
91,19,3,0.895983338,16.49167061,92,90.9,Src,256:512 First Replicate,48.34538651,-145.5431366
92,24,3,1.062257051,16.35664558,93,90.9,Src,256:512 First Replicate,51.80437088,-140.0681915
93,18,5,1.623284698,16.56738663,94,90.9,Src,256:512 First Replicate,28.32558823,-141.8325043
94,30,1,2.161663532,16.78643227,95,90.8,Src,256:512 First Replicate,52.96530151,-141.1741028
95,8,5,3.319929123,16.04678917,96,90.8,Src,256:512 First Replicate,26.8018322,-143.0634308
96,1,5,1.733611465,16.5131321,97,90.8,Src,256:512 First Replicate,29.33205223,-140.8706665
97,11,2,2.246167898,16.72239876,98,90.8,Src,256:512 First Replicate,54.78846741,-138.6614075
98,29,5,2.815676928,16.14847946,99,90.8,Src,256:512 First Replicate,29.21865082,-141.8057404
99,15,3,1.404089212,16.44991684,100,90.8,Src,256:512 First Replicate,52.48847961,-143.7034302
100,22,2,0.584223926,16.75856018,101,90.8,Src,256:512 First Replicate,52.0733223,-139.8051758
101,15,1,1.322973728,16.83191109,102,90.7,Src,256:512 First Replicate,56.00878525,-142.3686066
102,25,5,1.49996531,16.74520683,103,90.7,Src,256:512 First Replicate,27.15562057,-142.003006
103,4,2,0.866374493,16.75740433,104,90.7,Src,256:512 First Replicate,54.12687302,-140.952652
104,16,1,0.757065415,16.76963425,105,90.7,Src,256:512 First Replicate,52.29434204,-140.6226959
105,17,5,1.14416647,16.73249435,106,90.7,Src,256:512 First Replicate,28.78456497,-142.0355682
106,0,5,1.480928183,16.60889626,107,90.6,Src,256:512 First Replicate,28.42588997,-144.3935547
107,29,1,0.734948695,16.67949295,108,90.6,Src,256:512 First Replicate,54.45667648,-140.221405
108,20,5,1.020438671,16.58693314,109,90.6,Src,256:512 First Replicate,27.85375023,-140.5065613
109,6,2,3.376223803,16.05300713,110,90.6,Src,256:512 First Replicate,53.15230179,-142.72052
110,2,5,1.66334939,16.46832275,111,90.6,Src,256:512 First Replicate,28.13074875,-140.836731
111,10,5,1.83933115,16.50141716,112,90.6,Src,256:512 First Replicate,27.69983292,-141.666626
112,1,1,0.877098262,16.59450912,113,90.6,Src,256:512 First Replicate,52.87317276,-141.1583405
113,20,3,0.911266983,16.41408157,114,90.5,Src,256:512 First Replicate,50.69718933,-140.0283661
114,10,1,1.369915605,16.79976654,115,90.5,Src,256:512 First Replicate,50.81796646,-143.9488068
115,12,5,0.981887519,16.76034927,116,90.5,Src,256:512 First Replicate,30.01334,-140.54216
116,6,4,4.293828487,15.24601746,117,90.4,Src,256:512 First Replicate,49.62934494,-143.2901306
117,21,5,1.241327763,16.6023674,118,90.4,Src,256:512 First Replicate,29.32851791,-138.8334045
118,6,5,2.34800601,16.25648308,119,90.4,Src,256:512 First Replicate,29.46904182,-141.4978485
119,17,1,0.691955507,16.63082886,120,90.4,Src,256:512 First Replicate,52.0569725,-141.7608185
120,4,1,2.040125847,16.50987053,121,90.3,Src,256:512 First Replicate,51.96745682,-142.649231
121,16,3,0.79184854,16.50610924,122,90.3,Src,256:512 First Replicate,49.67047501,-141.7467499
122,3,1,1.238002062,16.54449844,123,90.2,Src,256:512 First Replicate,53.82329178,-139.5588837
123,3,5,3.258908749,15.78439426,124,90.2,Src,256:512 First Replicate,49.96445084,-140.2501831
124,2,2,2.533090353,16.75365448,125,90.2,Src,256:512 First Replicate,51.27107239,-139.6641388
125,23,5,1.606858969,16.58956146,126,90.2,Src,256:512 First Replicate,27.57111931,-142.1512451
126,10,3,1.415563107,16.29047394,127,90.1,Src,256:512 First Replicate,48.6172905,-144.2019653
127,4,5,3.434534073,15.84389687,128,90.1,Src,256:512 First Replicate,29.1675415,-141.1367645
128,17,3,1.22995007,16.38247299,129,90.1,Src,256:512 First Replicate,49.41114044,-144.9817047
129,21,1,0.737232149,16.66459084,130,90.1,Src,256:512 First Replicate,52.0954628,-140.4641724
130,7,3,1.086420178,16.44173431,131,90.1,Src,256:512 First Replicate,50.74961472,-142.5130463
131,12,1,0.803708136,16.67363548,132,90,Src,256:512 First Replicate,51.53077698,-143.3249969
132,6,1,1.231688261,16.51204109,133,90,Src,256:512 First Replicate,51.98391342,-141.9696198
133,5,3,2.232358694,16.32211304,134,90,Src,256:512 First Replicate,48.1764679,-144.6444397
134,13,5,2.266259432,16.31364822,135,89.9,Src,256:512 First Replicate,27.05307388,-141.0430298
135,13,3,2.087538004,16.42119408,136,89.9,Src,256:512 First Replicate,47.60520172,-143.3859406
136,8,1,1.693044424,16.41255379,137,89.9,Src,256:512 First Replicate,49.57714844,-142.379776
137,25,3,1.520018816,16.26744461,138,89.9,Src,256:512 First Replicate,49.12478256,-143.5478516
138,27,3,2.850405693,16.30391312,139,89.9,Src,256:512 First Replicate,24.03256035,-148.8164673
139,22,3,1.249395728,16.42506409,140,89.8,Src,256:512 First Replicate,44.27138901,-143.7011566
140,8,3,4.635130882,15.05215836,141,89.8,Src,256:512 First Replicate,45.6506424,-146.2631226
141,28,3,2.35627532,16.18750381,142,89.8,Src,256:512 First Replicate,52.00204468,-141.0146484
142,26,3,3.203765154,16.30924416,143,89.8,Src,256:512 First Replicate,49.2655983,-145.9032288
143,0,1,1.496288896,16.53946114,144,89.8,Src,256:512 First Replicate,50.20808792,-143.8849182
144,0,3,3.933513165,15.53971291,145,89.8,Src,256:512 First Replicate,48.13773346,-146.0401154
145,14,3,10.07799435,14.76154995,146,89.8,Src,256:512 First Replicate,21.02133942,-146.3239136
146,31,3,2.307358265,15.97126389,147,89.8,Src,256:512 First Replicate,50.23985672,-141.9683228
147,4,3,4.279190063,15.40699959,148,89.7,Src,256:512 First Replicate,49.46891785,-144.912796
148,1,3,4.052710056,15.29146576,149,89.6,Src,256:512 First Replicate,46.98635483,-144.4236603
149,2,3,1.777029872,16.16207695,150,89.6,Src,256:512 First Replicate,46.50014114,-144.0709076
150,30,3,3.74646163,15.73884392,151,89.6,Src,256:512 First Replicate,48.2951622,-142.1586609
